locus_tag	ftype	length_bp	gene	EC_number	COG	product
COGMAEJH_00041	CDS	1662	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
COGMAEJH_00042	CDS	960				hypothetical protein
COGMAEJH_00043	CDS	549	ybeY	3.1.-.-		Endoribonuclease YbeY
COGMAEJH_00044	CDS	1026			COG1702	PhoH-like protein
COGMAEJH_00045	CDS	1437	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
COGMAEJH_00046	CDS	858				hypothetical protein
COGMAEJH_00047	CDS	492	fur		COG0735	Ferric uptake regulation protein
COGMAEJH_00048	CDS	480	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
COGMAEJH_00049	CDS	693	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
COGMAEJH_00050	CDS	594	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
COGMAEJH_00051	CDS	564	nfuA			Fe/S biogenesis protein NfuA
COGMAEJH_00052	CDS	504				hypothetical protein
COGMAEJH_00053	CDS	657				hypothetical protein
COGMAEJH_00054	CDS	948				hypothetical protein
COGMAEJH_00055	CDS	267				IS3 family transposase ISMamg1
COGMAEJH_00056	CDS	936				IS3 family transposase ISXau1
COGMAEJH_00057	CDS	618				hypothetical protein
COGMAEJH_00058	CDS	1089				hypothetical protein
COGMAEJH_00059	CDS	1008	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
COGMAEJH_00060	CDS	2691				hypothetical protein
COGMAEJH_00061	CDS	468	lrp_1		COG1522	Leucine-responsive regulatory protein
COGMAEJH_00062	CDS	876				hypothetical protein
COGMAEJH_00063	CDS	1542	murJ		COG0728	Lipid II flippase MurJ
COGMAEJH_00064	CDS	2793	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
COGMAEJH_00065	CDS	708				hypothetical protein
COGMAEJH_00066	CDS	2673	mutS		COG0249	DNA mismatch repair protein MutS
COGMAEJH_00067	CDS	2265	tme	1.1.1.40	COG0280	NADP-dependent malic enzyme
COGMAEJH_00068	CDS	1026				hypothetical protein
COGMAEJH_00069	CDS	1431	ampG		COG0477	Anhydromuropeptide permease
COGMAEJH_00070	CDS	2226	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
COGMAEJH_00071	CDS	633	comM_1		COG0606	Competence protein ComM
COGMAEJH_00072	CDS	267				IS3 family transposase ISMamg1
COGMAEJH_00073	CDS	936				IS3 family transposase ISXau1
COGMAEJH_00074	CDS	624				hypothetical protein
COGMAEJH_00075	CDS	228				hypothetical protein
COGMAEJH_00076	CDS	963				IS1595 family transposase ISMtsp22
COGMAEJH_00077	tRNA	76				tRNA-Gly(ccc)
COGMAEJH_00078	CDS	429				IS1595 family transposase ISSst2
COGMAEJH_00079	CDS	945	comM_2		COG0606	Competence protein ComM
COGMAEJH_00080	CDS	1278				hypothetical protein
COGMAEJH_00081	CDS	939	gshB	6.3.2.3	COG0189	Glutathione synthetase
COGMAEJH_00082	CDS	846				hypothetical protein
COGMAEJH_00083	CDS	573				hypothetical protein
COGMAEJH_00084	CDS	375				hypothetical protein
COGMAEJH_00085	CDS	861	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
COGMAEJH_00086	CDS	1290				hypothetical protein
COGMAEJH_00087	CDS	1179	hemW		COG0635	Heme chaperone HemW
COGMAEJH_00088	CDS	606		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
COGMAEJH_00089	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
COGMAEJH_00090	CDS	1056	hrcA		COG1420	Heat-inducible transcription repressor HrcA
COGMAEJH_00091	CDS	624	grpE			Protein GrpE
COGMAEJH_00092	CDS	705				hypothetical protein
COGMAEJH_00093	CDS	672				hypothetical protein
COGMAEJH_00094	CDS	564				hypothetical protein
COGMAEJH_00095	CDS	1926	dnaK		COG0443	Chaperone protein DnaK
COGMAEJH_00096	CDS	1158	dnaJ_1		COG0484	Chaperone protein DnaJ
COGMAEJH_00097	CDS	351				hypothetical protein
COGMAEJH_00098	CDS	1326				hypothetical protein
COGMAEJH_00099	CDS	819	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
COGMAEJH_00100	CDS	633	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
COGMAEJH_00101	CDS	516				hypothetical protein
COGMAEJH_00102	CDS	657	nth	4.2.99.18	COG0177	Endonuclease III
COGMAEJH_00103	CDS	354				hypothetical protein
COGMAEJH_00104	CDS	684				hypothetical protein
COGMAEJH_00105	CDS	996	iolC	2.7.1.92	COG0524	5-dehydro-2-deoxygluconokinase
COGMAEJH_00106	CDS	972	coaA	2.7.1.33	COG1072	Pantothenate kinase
COGMAEJH_00107	CDS	330	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
COGMAEJH_00108	CDS	1104				hypothetical protein
COGMAEJH_00109	CDS	1533				hypothetical protein
COGMAEJH_00110	CDS	759	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
COGMAEJH_00111	CDS	732	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
COGMAEJH_00112	CDS	642	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
COGMAEJH_00113	CDS	489				hypothetical protein
COGMAEJH_00114	CDS	612	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
COGMAEJH_00115	CDS	531				hypothetical protein
COGMAEJH_00116	CDS	558	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
COGMAEJH_00117	CDS	1305	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
COGMAEJH_00118	CDS	1083				hypothetical protein
COGMAEJH_00119	CDS	1062	vldW	1.14.11.52		Validamycin A dioxygenase
COGMAEJH_00120	CDS	825				hypothetical protein
COGMAEJH_00121	CDS	372				hypothetical protein
COGMAEJH_00122	CDS	618				hypothetical protein
COGMAEJH_00123	CDS	1131				hypothetical protein
COGMAEJH_00124	CDS	738				hypothetical protein
COGMAEJH_00125	CDS	528				hypothetical protein
COGMAEJH_00126	CDS	480	secB		COG1952	Protein-export protein SecB
COGMAEJH_00127	CDS	693	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
COGMAEJH_00128	CDS	429				hypothetical protein
COGMAEJH_00129	CDS	630	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
COGMAEJH_00130	CDS	843	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
COGMAEJH_00131	CDS	627	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
COGMAEJH_00132	CDS	825	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
COGMAEJH_00133	CDS	144				hypothetical protein
COGMAEJH_00134	CDS	1053	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
COGMAEJH_00135	CDS	1044	hemH	4.99.1.1	COG0276	Ferrochelatase
COGMAEJH_00136	CDS	444				hypothetical protein
COGMAEJH_00137	CDS	150				hypothetical protein
COGMAEJH_00138	CDS	1266	rho	3.6.4.-	COG1158	Transcription termination factor Rho
COGMAEJH_00139	CDS	984	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
COGMAEJH_00140	CDS	624	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
COGMAEJH_00141	CDS	693	clcD_1	3.1.1.45		Carboxymethylenebutenolidase
COGMAEJH_00142	CDS	171				hypothetical protein
COGMAEJH_00143	CDS	951	gcvA			Glycine cleavage system transcriptional activator
COGMAEJH_00144	CDS	453				IS3 family transposase IS511
COGMAEJH_00145	CDS	531				hypothetical protein
COGMAEJH_00146	CDS	267				IS3 family transposase ISMamg1
COGMAEJH_00147	CDS	306				hypothetical protein
COGMAEJH_00148	CDS	2034				hypothetical protein
COGMAEJH_00149	CDS	285				hypothetical protein
COGMAEJH_00150	CDS	1308	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
COGMAEJH_00151	CDS	1857	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
COGMAEJH_00152	CDS	681	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
COGMAEJH_00153	CDS	948	parA			Chromosome partitioning protein ParA
COGMAEJH_00154	CDS	915	parB			Chromosome-partitioning protein ParB
COGMAEJH_00155	CDS	1044				hypothetical protein
COGMAEJH_00156	CDS	594				hypothetical protein
COGMAEJH_00157	CDS	2607	leuS	6.1.1.4		Leucine--tRNA ligase
COGMAEJH_00158	CDS	567				hypothetical protein
COGMAEJH_00159	CDS	1113				hypothetical protein
COGMAEJH_00160	CDS	876				hypothetical protein
COGMAEJH_00161	CDS	837	staL	2.8.2.36		Desulfo-A47934 sulfotransferase
COGMAEJH_00162	CDS	615	thiE_1	2.5.1.3		Thiamine-phosphate synthase
COGMAEJH_00163	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
COGMAEJH_00164	CDS	546				hypothetical protein
COGMAEJH_00165	CDS	699				hypothetical protein
COGMAEJH_00166	CDS	1983				hypothetical protein
COGMAEJH_00167	CDS	687	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
COGMAEJH_00168	CDS	165				hypothetical protein
COGMAEJH_00169	CDS	465				hypothetical protein
COGMAEJH_00170	CDS	507				hypothetical protein
COGMAEJH_00171	CDS	480				hypothetical protein
COGMAEJH_00172	CDS	624				hypothetical protein
COGMAEJH_00173	CDS	807	xthA_1	3.1.11.2	COG0708	Exodeoxyribonuclease III
COGMAEJH_00174	CDS	606				hypothetical protein
COGMAEJH_00175	CDS	1383	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
COGMAEJH_00176	CDS	1383	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
COGMAEJH_00177	CDS	756	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
COGMAEJH_00178	CDS	717	lolA			Outer-membrane lipoprotein carrier protein
COGMAEJH_00179	CDS	2688				hypothetical protein
COGMAEJH_00180	CDS	1245	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
COGMAEJH_00181	CDS	1257	amtB			Ammonia channel
COGMAEJH_00182	CDS	1296	nrgA			Ammonium transporter
COGMAEJH_00183	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
COGMAEJH_00184	CDS	1335	amt			Ammonia channel
COGMAEJH_00185	CDS	2199	qbdA	1.1.9.1		Quinohemoprotein alcohol dehydrogenase ADH IIB
COGMAEJH_00186	CDS	1395	cnbH	3.5.99.5		2-amino-5-chloromuconic acid deaminase
COGMAEJH_00187	CDS	1251	bioI_1	1.14.14.46	COG2124	Biotin biosynthesis cytochrome P450
COGMAEJH_00188	CDS	1224	ubiL	1.14.13.-	COG0654	Ubiquinone hydroxylase UbiL
COGMAEJH_00189	CDS	363				hypothetical protein
COGMAEJH_00190	CDS	219				hypothetical protein
COGMAEJH_00191	CDS	684				hypothetical protein
COGMAEJH_00192	CDS	909	cnoX		COG3118	Chaperedoxin
COGMAEJH_00193	CDS	537	proX		COG3760	Prolyl-tRNA editing protein ProX
COGMAEJH_00194	tRNA	75				tRNA-Gly(gcc)
COGMAEJH_00195	CDS	498				hypothetical protein
COGMAEJH_00196	CDS	1473				hypothetical protein
COGMAEJH_00197	CDS	1425				hypothetical protein
COGMAEJH_00198	CDS	1614	purH		COG0138	Bifunctional purine biosynthesis protein PurH
COGMAEJH_00199	CDS	405		3.1.2.-	COG2050	Putative esterase
COGMAEJH_00200	CDS	1887	fzlC			FtsZ-localized protein C
COGMAEJH_00201	CDS	672	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
COGMAEJH_00202	CDS	744				hypothetical protein
COGMAEJH_00203	CDS	759	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
COGMAEJH_00204	CDS	1305	rsmB_1	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
COGMAEJH_00205	CDS	867	htpX_1	3.4.24.-	COG0501	Protease HtpX 
COGMAEJH_00206	CDS	222				hypothetical protein
COGMAEJH_00207	CDS	1944	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
COGMAEJH_00208	CDS	1263	smtB_1	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
COGMAEJH_00209	CDS	441				hypothetical protein
COGMAEJH_00210	CDS	180				hypothetical protein
COGMAEJH_00211	CDS	747				hypothetical protein
COGMAEJH_00212	CDS	225				hypothetical protein
COGMAEJH_00213	CDS	396				hypothetical protein
COGMAEJH_00214	CDS	345				hypothetical protein
COGMAEJH_00215	CDS	426				hypothetical protein
COGMAEJH_00216	CDS	285				hypothetical protein
COGMAEJH_00217	CDS	1002	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
COGMAEJH_00218	CDS	630				hypothetical protein
COGMAEJH_00219	CDS	105				hypothetical protein
COGMAEJH_00220	CDS	126				hypothetical protein
COGMAEJH_00221	CDS	906	mlhB_1	3.1.1.83		Monoterpene epsilon-lactone hydrolase
COGMAEJH_00222	CDS	1083	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
COGMAEJH_00223	CDS	927	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
COGMAEJH_00224	CDS	708				hypothetical protein
COGMAEJH_00225	CDS	1269				hypothetical protein
COGMAEJH_00226	CDS	1527				hypothetical protein
COGMAEJH_00227	CDS	1062			COG0596	putative protein
COGMAEJH_00228	tRNA	76				tRNA-Thr(cgt)
COGMAEJH_00229	CDS	1425	hss	2.5.1.44		Homospermidine synthase
COGMAEJH_00230	CDS	174				hypothetical protein
COGMAEJH_00231	CDS	498				hypothetical protein
COGMAEJH_00232	CDS	873	pleC_1	2.7.13.3		Non-motile and phage-resistance protein
COGMAEJH_00233	CDS	1713				hypothetical protein
COGMAEJH_00234	CDS	459				hypothetical protein
COGMAEJH_00235	CDS	2037				hypothetical protein
COGMAEJH_00236	CDS	1356				putative protein
COGMAEJH_00237	CDS	1083	hcf136			Ycf48-like protein
COGMAEJH_00238	CDS	804		4.2.1.150	COG1024	Crotonyl-CoA hydratase
COGMAEJH_00239	CDS	1176	acrC_1	1.3.1.95		Acryloyl-CoA reductase (NADH)
COGMAEJH_00240	CDS	1194	hsaA	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
COGMAEJH_00241	CDS	792	linX_1	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
COGMAEJH_00242	CDS	696				hypothetical protein
COGMAEJH_00243	tRNA	76				tRNA-Ala(cgc)
COGMAEJH_00244	CDS	297				hypothetical protein
COGMAEJH_00245	CDS	327				hypothetical protein
COGMAEJH_00246	CDS	900	folD		COG0190	Bifunctional protein FolD protein
COGMAEJH_00247	CDS	1017				hypothetical protein
COGMAEJH_00248	CDS	1482	dap_1	3.4.11.19		D-aminopeptidase
COGMAEJH_00249	CDS	534	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
COGMAEJH_00250	CDS	1230	argG	6.3.4.5	COG0137	Argininosuccinate synthase
COGMAEJH_00251	CDS	582				hypothetical protein
COGMAEJH_00252	CDS	936				hypothetical protein
COGMAEJH_00253	CDS	594	nsaD_2	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
COGMAEJH_00254	CDS	1197	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
COGMAEJH_00255	CDS	564				hypothetical protein
COGMAEJH_00256	CDS	1005	qorA_2	1.6.5.5	COG0604	Quinone oxidoreductase 1
COGMAEJH_00257	CDS	723				hypothetical protein
COGMAEJH_00258	CDS	1224				hypothetical protein
COGMAEJH_00259	CDS	426				hypothetical protein
COGMAEJH_00260	CDS	783		1.-.-.-		putative oxidoreductase
COGMAEJH_00261	CDS	315	phhB	4.2.1.96	COG2154	Putative pterin-4-alpha-carbinolamine dehydratase
COGMAEJH_00262	CDS	408				hypothetical protein
COGMAEJH_00263	CDS	552	thpR	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
COGMAEJH_00264	CDS	1041	tas		COG0667	Protein tas
COGMAEJH_00265	CDS	678		3.1.1.2		Arylesterase
COGMAEJH_00266	CDS	693	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
COGMAEJH_00267	CDS	2565				hypothetical protein
COGMAEJH_00268	CDS	759	ybhL		COG0670	Inner membrane protein YbhL
COGMAEJH_00269	CDS	405				hypothetical protein
COGMAEJH_00270	CDS	1011	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
COGMAEJH_00271	CDS	735				hypothetical protein
COGMAEJH_00272	CDS	1944				hypothetical protein
COGMAEJH_00273	CDS	1104				hypothetical protein
COGMAEJH_00274	CDS	3225	acnA	4.2.1.3	COG1048	Aconitate hydratase A
COGMAEJH_00275	CDS	804	dpgD_1	4.2.1.17		Enoyl-CoA-hydratase
COGMAEJH_00276	CDS	627	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
COGMAEJH_00277	CDS	678	ccmB		COG2386	Heme exporter protein B
COGMAEJH_00278	CDS	753	ccmC		COG0755	Heme exporter protein C
COGMAEJH_00279	CDS	204				hypothetical protein
COGMAEJH_00280	CDS	552	cycY		COG0526	Thiol:disulfide interchange protein CycY
COGMAEJH_00281	CDS	546				hypothetical protein
COGMAEJH_00282	CDS	591				hypothetical protein
COGMAEJH_00283	CDS	1650	nanT_1			Sialic acid transporter NanT
COGMAEJH_00284	CDS	639	yciB		COG2917	Intracellular septation protein
COGMAEJH_00285	CDS	951	ftsY		COG0552	Signal recognition particle receptor FtsY
COGMAEJH_00286	CDS	1263	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
COGMAEJH_00287	CDS	867	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
COGMAEJH_00288	CDS	489	cinA_1			Putative competence-damage inducible protein
COGMAEJH_00289	CDS	387				hypothetical protein
COGMAEJH_00290	CDS	243				hypothetical protein
COGMAEJH_00291	CDS	1512	ffh		COG0541	Signal recognition particle protein
COGMAEJH_00292	CDS	396				hypothetical protein
COGMAEJH_00293	CDS	567	rimM		COG0806	Ribosome maturation factor RimM
COGMAEJH_00294	CDS	708	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
COGMAEJH_00295	CDS	393	rplS		COG0335	50S ribosomal protein L19
COGMAEJH_00296	CDS	1407	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
COGMAEJH_00297	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
COGMAEJH_00298	CDS	1107	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
COGMAEJH_00299	CDS	1023	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
COGMAEJH_00300	CDS	2139	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
COGMAEJH_00301	CDS	897	mcl2_1	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
COGMAEJH_00302	CDS	1050	mch	4.2.1.148	COG2030	Beta-methylmalyl-CoA dehydratase
COGMAEJH_00303	CDS	594				hypothetical protein
COGMAEJH_00304	CDS	408	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
COGMAEJH_00305	CDS	396				hypothetical protein
COGMAEJH_00306	CDS	1791	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
COGMAEJH_00307	CDS	780	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
COGMAEJH_00308	CDS	534				hypothetical protein
COGMAEJH_00309	CDS	357				hypothetical protein
COGMAEJH_00310	CDS	513	arsC	1.20.4.4		Arsenate reductase
COGMAEJH_00311	CDS	1074	acr3		COG0798	Arsenical-resistance protein Acr3
COGMAEJH_00312	CDS	294				hypothetical protein
COGMAEJH_00313	CDS	1500	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
COGMAEJH_00314	CDS	840	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
COGMAEJH_00315	CDS	1122	zapE		COG1485	Cell division protein ZapE
COGMAEJH_00316	CDS	594				hypothetical protein
COGMAEJH_00317	CDS	1005	mdh	1.1.1.37		Malate dehydrogenase
COGMAEJH_00318	CDS	1077	rbn	3.1.26.11		Ribonuclease BN
COGMAEJH_00319	CDS	1170	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
COGMAEJH_00320	CDS	876	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
COGMAEJH_00321	CDS	3192	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
COGMAEJH_00322	CDS	1233	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
COGMAEJH_00323	CDS	1392	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
COGMAEJH_00324	CDS	999	xerC_1		COG4973	Tyrosine recombinase XerC
COGMAEJH_00325	CDS	741				hypothetical protein
COGMAEJH_00326	CDS	693	tal	2.2.1.2	COG0176	Transaldolase
COGMAEJH_00327	CDS	2208	priA	3.6.4.-	COG1198	Primosomal protein N'
COGMAEJH_00328	CDS	558	atpH		COG0712	ATP synthase subunit delta
COGMAEJH_00329	CDS	1530	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
COGMAEJH_00330	CDS	882	atpG_1		COG0224	ATP synthase gamma chain
COGMAEJH_00331	CDS	1437	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
COGMAEJH_00332	CDS	399	atpC		COG0355	ATP synthase epsilon chain
COGMAEJH_00333	CDS	825				hypothetical protein
COGMAEJH_00334	CDS	627				hypothetical protein
COGMAEJH_00335	CDS	1158				hypothetical protein
COGMAEJH_00336	CDS	540	rppH_1	3.6.1.-	COG0494	RNA pyrophosphohydrolase
COGMAEJH_00337	CDS	1260				hypothetical protein
COGMAEJH_00338	CDS	1326		3.4.21.-		putative CtpA-like serine protease
COGMAEJH_00339	CDS	1344				hypothetical protein
COGMAEJH_00340	CDS	1575	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
COGMAEJH_00341	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
COGMAEJH_00342	CDS	477	rsfS			Ribosomal silencing factor RsfS
COGMAEJH_00343	CDS	603	nadD	2.7.7.18		nicotinate-nucleotide adenylyltransferase
COGMAEJH_00344	CDS	1299	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
COGMAEJH_00345	CDS	1119	proB	2.7.2.11		Glutamate 5-kinase
COGMAEJH_00346	CDS	1041	cgtA	3.6.5.-		GTPase Obg/CgtA
COGMAEJH_00347	CDS	276	rpmA		COG0211	50S ribosomal protein L27
COGMAEJH_00348	CDS	315	rplU		COG0261	50S ribosomal protein L21
COGMAEJH_00349	CDS	771	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
COGMAEJH_00350	tRNA	90				tRNA-Ser(cga)
COGMAEJH_00351	CDS	2505				hypothetical protein
COGMAEJH_00352	CDS	900				hypothetical protein
COGMAEJH_00353	CDS	2163	katG	1.11.1.21	COG0376	Catalase-peroxidase
COGMAEJH_00354	CDS	705				hypothetical protein
COGMAEJH_00355	CDS	1239				hypothetical protein
COGMAEJH_00356	CDS	5871				hypothetical protein
COGMAEJH_00357	CDS	273				hypothetical protein
COGMAEJH_00358	CDS	477				hypothetical protein
COGMAEJH_00359	CDS	756			COG0330	putative protein
COGMAEJH_00360	CDS	1383				hypothetical protein
COGMAEJH_00361	CDS	780	linX_2	1.1.1.-		2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX
COGMAEJH_00362	CDS	1212	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
COGMAEJH_00363	CDS	462				hypothetical protein
COGMAEJH_00364	CDS	498	msrB_1	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
