locus_tag	ftype	length_bp	gene	EC_number	COG	product
NODJMJEH_00116	CDS	516				hypothetical protein
NODJMJEH_00117	CDS	1164	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
NODJMJEH_00118	CDS	828				hypothetical protein
NODJMJEH_00119	CDS	921				hypothetical protein
NODJMJEH_00120	CDS	2733	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
NODJMJEH_00121	CDS	900				hypothetical protein
NODJMJEH_00122	CDS	1698	yqiK		COG2268	Inner membrane protein YqiK
NODJMJEH_00123	CDS	684	yqiJ			Inner membrane protein YqiJ
NODJMJEH_00124	CDS	678				hypothetical protein
NODJMJEH_00125	CDS	513				hypothetical protein
NODJMJEH_00126	CDS	1263	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
NODJMJEH_00127	CDS	1362	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
NODJMJEH_00128	CDS	594	yigZ		COG1739	IMPACT family member YigZ
NODJMJEH_00129	CDS	1239				hypothetical protein
NODJMJEH_00130	CDS	1017				hypothetical protein
NODJMJEH_00131	CDS	1629	lig	6.5.1.1		DNA ligase
NODJMJEH_00132	CDS	2457	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
NODJMJEH_00133	CDS	708				hypothetical protein
NODJMJEH_00134	CDS	2043	fadJ_1		COG1024	Fatty acid oxidation complex subunit alpha
NODJMJEH_00135	CDS	354				hypothetical protein
NODJMJEH_00136	CDS	762				hypothetical protein
NODJMJEH_00137	CDS	867				hypothetical protein
NODJMJEH_00138	CDS	1107				hypothetical protein
NODJMJEH_00139	CDS	939				hypothetical protein
NODJMJEH_00140	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
NODJMJEH_00141	CDS	1059	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
NODJMJEH_00142	CDS	849	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
NODJMJEH_00143	CDS	1368	menF	5.4.4.2		Isochorismate synthase MenF
NODJMJEH_00144	CDS	1245	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
NODJMJEH_00145	CDS	240	acpP			Acyl carrier protein
NODJMJEH_00146	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NODJMJEH_00147	CDS	852	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
NODJMJEH_00148	CDS	699				hypothetical protein
NODJMJEH_00149	CDS	969	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
NODJMJEH_00150	CDS	201	rpmF		COG0333	50S ribosomal protein L32
NODJMJEH_00151	CDS	552	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
NODJMJEH_00152	CDS	597	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
NODJMJEH_00153	CDS	1842				hypothetical protein
NODJMJEH_00154	CDS	1104	ldh	1.4.1.9		Leucine dehydrogenase
NODJMJEH_00155	CDS	1158	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
NODJMJEH_00156	CDS	717				hypothetical protein
NODJMJEH_00157	CDS	1236				hypothetical protein
NODJMJEH_00158	CDS	657	degU_1		COG2197	Transcriptional regulatory protein DegU
NODJMJEH_00159	CDS	1179	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
NODJMJEH_00160	CDS	372				hypothetical protein
NODJMJEH_00161	CDS	1479				hypothetical protein
NODJMJEH_00162	CDS	1638		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
NODJMJEH_00163	CDS	1020				hypothetical protein
NODJMJEH_00164	CDS	786		4.1.2.41		Hydroxycinnamoyl-CoA hydratase-lyase
NODJMJEH_00165	CDS	2001	accA1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
NODJMJEH_00166	CDS	1125				hypothetical protein
NODJMJEH_00167	CDS	2067				hypothetical protein
NODJMJEH_00168	CDS	1431	hsrA			putative transport protein HsrA
NODJMJEH_00169	CDS	408				hypothetical protein
NODJMJEH_00170	CDS	357				hypothetical protein
NODJMJEH_00171	CDS	675				hypothetical protein
NODJMJEH_00172	CDS	723	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
NODJMJEH_00173	CDS	1923	uup		COG0488	ABC transporter ATP-binding protein uup
NODJMJEH_00174	CDS	600				hypothetical protein
NODJMJEH_00175	CDS	1539				hypothetical protein
NODJMJEH_00176	CDS	408				hypothetical protein
NODJMJEH_00177	CDS	189				hypothetical protein
NODJMJEH_00178	CDS	867				hypothetical protein
NODJMJEH_00179	CDS	957				hypothetical protein
NODJMJEH_00180	CDS	945				hypothetical protein
NODJMJEH_00181	CDS	1842				hypothetical protein
NODJMJEH_00182	CDS	2910				hypothetical protein
NODJMJEH_00183	CDS	540				hypothetical protein
NODJMJEH_00184	CDS	741				hypothetical protein
NODJMJEH_00185	CDS	456				hypothetical protein
NODJMJEH_00186	CDS	2271	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
NODJMJEH_00187	CDS	333	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
NODJMJEH_00188	CDS	522	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
NODJMJEH_00189	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
NODJMJEH_00190	CDS	636	hflD		COG2915	High frequency lysogenization protein HflD
NODJMJEH_00191	CDS	1422				hypothetical protein
NODJMJEH_00192	CDS	1233				hypothetical protein
NODJMJEH_00193	CDS	5565	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
NODJMJEH_00194	CDS	1086				hypothetical protein
NODJMJEH_00195	CDS	2889				hypothetical protein
NODJMJEH_00196	CDS	726				hypothetical protein
NODJMJEH_00197	CDS	1239				hypothetical protein
NODJMJEH_00198	CDS	885				hypothetical protein
NODJMJEH_00199	CDS	1020				hypothetical protein
NODJMJEH_00200	CDS	1020				hypothetical protein
NODJMJEH_00201	CDS	2163	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
NODJMJEH_00202	CDS	1251				hypothetical protein
NODJMJEH_00203	CDS	651				hypothetical protein
NODJMJEH_00204	CDS	1218				hypothetical protein
NODJMJEH_00205	CDS	1122	mcrC		COG4268	Protein McrC
NODJMJEH_00206	CDS	2073				hypothetical protein
NODJMJEH_00207	CDS	345		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
NODJMJEH_00208	CDS	594	recR		COG0353	Recombination protein RecR
NODJMJEH_00209	CDS	333			COG0718	Nucleoid-associated protein
NODJMJEH_00210	CDS	2265	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
NODJMJEH_00211	tRNA	93				tRNA-Ser(gga)
NODJMJEH_00212	CDS	492				hypothetical protein
NODJMJEH_00213	CDS	810				hypothetical protein
NODJMJEH_00214	CDS	753	kdkA	2.7.1.166		3-deoxy-D-manno-octulosonic acid kinase
NODJMJEH_00215	CDS	1071				hypothetical protein
NODJMJEH_00216	CDS	1836				hypothetical protein
NODJMJEH_00217	CDS	1059			COG2826	IS30 family transposase IS1086
NODJMJEH_00218	CDS	411				hypothetical protein
NODJMJEH_00219	CDS	1440	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
NODJMJEH_00220	CDS	1515	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
NODJMJEH_00221	CDS	2049	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
NODJMJEH_00222	CDS	264				hypothetical protein
NODJMJEH_00223	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
NODJMJEH_00224	CDS	627	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
NODJMJEH_00225	CDS	489	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
NODJMJEH_00226	CDS	1062	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
NODJMJEH_00227	CDS	2355	nqo3	7.1.1.-	COG1034	NADH-quinone oxidoreductase chain 3
NODJMJEH_00228	CDS	1335	nuoF	7.1.1.-		NADH-quinone oxidoreductase subunit F
NODJMJEH_00229	CDS	528	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase chain 2
NODJMJEH_00230	CDS	1251	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
NODJMJEH_00231	CDS	735	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
NODJMJEH_00232	CDS	564	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
NODJMJEH_00233	CDS	357	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
NODJMJEH_00234	tRNA	85				tRNA-Leu(gag)
NODJMJEH_00235	CDS	441	secG		COG1314	Protein-export membrane protein SecG
NODJMJEH_00236	CDS	777	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
NODJMJEH_00237	CDS	468				hypothetical protein
NODJMJEH_00238	CDS	807				hypothetical protein
NODJMJEH_00239	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NODJMJEH_00240	CDS	1251	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
NODJMJEH_00241	CDS	432				hypothetical protein
NODJMJEH_00242	CDS	201				hypothetical protein
NODJMJEH_00243	CDS	285				hypothetical protein
NODJMJEH_00244	CDS	786	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
NODJMJEH_00245	CDS	1791	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
NODJMJEH_00246	CDS	396				hypothetical protein
NODJMJEH_00247	CDS	384				hypothetical protein
NODJMJEH_00248	CDS	153				hypothetical protein
NODJMJEH_00249	CDS	879	ygfZ			tRNA-modifying protein YgfZ
NODJMJEH_00250	CDS	468				hypothetical protein
NODJMJEH_00251	CDS	468				hypothetical protein
NODJMJEH_00252	tmRNA	354	ssrA			transfer-messenger RNA, SsrA
NODJMJEH_00253	CDS	1236	intS		COG0582	Prophage integrase IntS
NODJMJEH_00254	CDS	492				hypothetical protein
NODJMJEH_00255	CDS	261				hypothetical protein
NODJMJEH_00256	CDS	174				hypothetical protein
NODJMJEH_00257	CDS	273				hypothetical protein
NODJMJEH_00258	CDS	873	traC	2.7.7.-		DNA primase TraC
NODJMJEH_00259	CDS	1401				hypothetical protein
NODJMJEH_00260	CDS	180				hypothetical protein
NODJMJEH_00261	CDS	267				hypothetical protein
NODJMJEH_00262	CDS	993				hypothetical protein
NODJMJEH_00263	CDS	201				hypothetical protein
NODJMJEH_00264	CDS	204				hypothetical protein
NODJMJEH_00265	CDS	216				hypothetical protein
NODJMJEH_00266	CDS	324				hypothetical protein
NODJMJEH_00267	CDS	441				hypothetical protein
NODJMJEH_00268	CDS	183				hypothetical protein
NODJMJEH_00269	CDS	201				hypothetical protein
NODJMJEH_00270	CDS	924	liuE	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
NODJMJEH_00271	CDS	396				hypothetical protein
NODJMJEH_00272	CDS	1674				hypothetical protein
NODJMJEH_00273	CDS	513				hypothetical protein
NODJMJEH_00274	CDS	1449	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
NODJMJEH_00275	CDS	2376				hypothetical protein
NODJMJEH_00276	CDS	969	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
NODJMJEH_00277	CDS	2397	ligA	6.5.1.2		DNA ligase
NODJMJEH_00278	CDS	1521	ppx	3.6.1.11	COG0248	Exopolyphosphatase
NODJMJEH_00279	CDS	558				hypothetical protein
NODJMJEH_00280	CDS	1131	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
NODJMJEH_00281	CDS	2448		1.6.3.5		Renalase
NODJMJEH_00282	CDS	597				hypothetical protein
NODJMJEH_00283	CDS	1035	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
NODJMJEH_00284	CDS	603	desR		COG2197	Transcriptional regulatory protein DesR
NODJMJEH_00285	CDS	1170	desK	2.7.13.3	COG4585	Sensor histidine kinase DesK
NODJMJEH_00286	CDS	771				hypothetical protein
NODJMJEH_00287	CDS	891	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
NODJMJEH_00288	CDS	1263				hypothetical protein
NODJMJEH_00289	CDS	840	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NODJMJEH_00290	CDS	1503	argD	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
NODJMJEH_00291	CDS	1056				hypothetical protein
NODJMJEH_00292	CDS	1215	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
NODJMJEH_00293	CDS	957	pip	3.4.11.5		Proline iminopeptidase
NODJMJEH_00294	tRNA	77				tRNA-Pro(ggg)
NODJMJEH_00295	CDS	351				hypothetical protein
NODJMJEH_00296	CDS	357				hypothetical protein
NODJMJEH_00297	CDS	306	ihfA		COG0776	Integration host factor subunit alpha
NODJMJEH_00298	CDS	2376	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
NODJMJEH_00299	CDS	996	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
NODJMJEH_00300	CDS	360	rplT		COG0292	50S ribosomal protein L20
NODJMJEH_00301	CDS	255				hypothetical protein
NODJMJEH_00302	CDS	579	infC		COG0290	Translation initiation factor IF-3
NODJMJEH_00303	CDS	1905	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
NODJMJEH_00304	tRNA	75				tRNA-Val(gac)
NODJMJEH_00305	CDS	1989				hypothetical protein
NODJMJEH_00306	CDS	771				hypothetical protein
NODJMJEH_00307	CDS	303				Membrane-associated protein
NODJMJEH_00308	CDS	933				hypothetical protein
NODJMJEH_00309	CDS	1065				hypothetical protein
NODJMJEH_00310	CDS	540				hypothetical protein
NODJMJEH_00311	CDS	732				hypothetical protein
NODJMJEH_00312	CDS	2037	uvrB		COG0556	UvrABC system protein B
NODJMJEH_00313	CDS	561				hypothetical protein
NODJMJEH_00314	CDS	291				hypothetical protein
NODJMJEH_00315	CDS	696		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
NODJMJEH_00316	CDS	384				hypothetical protein
NODJMJEH_00317	CDS	1197	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
NODJMJEH_00318	CDS	1449				hypothetical protein
NODJMJEH_00319	CDS	1179				hypothetical protein
NODJMJEH_00320	CDS	819				hypothetical protein
NODJMJEH_00321	CDS	1476	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
NODJMJEH_00322	CDS	588				hypothetical protein
NODJMJEH_00323	CDS	942				hypothetical protein
NODJMJEH_00324	CDS	1278	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
NODJMJEH_00325	CDS	885	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
NODJMJEH_00326	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
NODJMJEH_00327	CDS	1230	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
NODJMJEH_00328	CDS	654	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
NODJMJEH_00329	CDS	807	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
NODJMJEH_00330	CDS	1914				hypothetical protein
NODJMJEH_00331	CDS	1020	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
NODJMJEH_00332	CDS	1086	aroC	4.2.3.5		Chorismate synthase
NODJMJEH_00333	CDS	921	prmB_1	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
NODJMJEH_00334	CDS	627				hypothetical protein
NODJMJEH_00335	CDS	846	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
NODJMJEH_00336	CDS	666				hypothetical protein
NODJMJEH_00337	CDS	1161				hypothetical protein
NODJMJEH_00338	CDS	495				hypothetical protein
NODJMJEH_00339	CDS	1506				hypothetical protein
NODJMJEH_00340	CDS	1350	garB	1.8.1.16		Glutathione amide reductase
NODJMJEH_00341	CDS	1074	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
NODJMJEH_00342	CDS	384	crcB_1			Putative fluoride ion transporter CrcB
NODJMJEH_00343	CDS	393	crcB_2			Putative fluoride ion transporter CrcB
NODJMJEH_00344	CDS	1347	rarA		COG2256	Replication-associated recombination protein A
NODJMJEH_00345	CDS	1029	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
NODJMJEH_00346	CDS	486	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
NODJMJEH_00347	CDS	489	mutX	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
NODJMJEH_00348	CDS	645				hypothetical protein
NODJMJEH_00349	CDS	1278	gltT			Proton/sodium-glutamate symport protein
NODJMJEH_00350	CDS	453				hypothetical protein
NODJMJEH_00351	CDS	1743	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
NODJMJEH_00352	CDS	1083	yrbG_2		COG0530	Inner membrane protein YrbG
NODJMJEH_00353	CDS	1278				hypothetical protein
NODJMJEH_00354	CDS	1269	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
NODJMJEH_00355	CDS	525				hypothetical protein
NODJMJEH_00356	CDS	1005				hypothetical protein
NODJMJEH_00357	CDS	861			COG5660	putative protein
NODJMJEH_00358	CDS	630				hypothetical protein
NODJMJEH_00359	CDS	981	srkA	2.7.11.1	COG2334	Stress response kinase A
NODJMJEH_00360	CDS	1800				hypothetical protein
NODJMJEH_00361	CDS	315	gdx		COG2076	Guanidinium exporter
NODJMJEH_00362	CDS	939				hypothetical protein
NODJMJEH_00363	CDS	462	yccU		COG1832	putative protein YccU
NODJMJEH_00364	CDS	633	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
NODJMJEH_00365	CDS	1317	tig	5.2.1.8	COG0544	Trigger factor
NODJMJEH_00366	tRNA	85				tRNA-Leu(tag)
NODJMJEH_00367	tRNA	75				tRNA-Lys(ctt)
NODJMJEH_00368	tRNA	75				tRNA-His(gtg)
NODJMJEH_00369	CDS	372				hypothetical protein
NODJMJEH_00370	tRNA	77				tRNA-Arg(tct)
NODJMJEH_00371	tRNA	77				tRNA-Pro(tgg)
NODJMJEH_00372	tRNA	77				tRNA-Arg(acg)
NODJMJEH_00373	tRNA	77				tRNA-Asn(gtt)
NODJMJEH_00374	CDS	465				hypothetical protein
NODJMJEH_00375	CDS	717				hypothetical protein
NODJMJEH_00376	CDS	1737	proS	6.1.1.15	COG0442	Proline--tRNA ligase
NODJMJEH_00377	CDS	333	hvrA			Trans-acting regulatory protein HvrA
NODJMJEH_00378	CDS	1305				hypothetical protein
NODJMJEH_00379	CDS	915				hypothetical protein
NODJMJEH_00380	CDS	699	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
NODJMJEH_00381	CDS	4374				hypothetical protein
NODJMJEH_00382	CDS	2001				hypothetical protein
NODJMJEH_00383	CDS	921				hypothetical protein
NODJMJEH_00384	CDS	1773	mutL			DNA mismatch repair protein MutL
NODJMJEH_00385	CDS	624	rnt	3.1.13.-	COG0847	Ribonuclease T
NODJMJEH_00386	CDS	285				hypothetical protein
NODJMJEH_00387	CDS	2181		3.4.21.26		Prolyl endopeptidase
NODJMJEH_00388	CDS	690				hypothetical protein
NODJMJEH_00389	CDS	744	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
NODJMJEH_00390	CDS	2514	rnr	3.1.13.1	COG0557	Ribonuclease R
NODJMJEH_00391	tRNA	85				tRNA-Leu(cag)
